author_name,author_id,field_of_expertise_1,field_of_expertise_2,field_of_expertise_3,field_of_expertise_4,field_of_expertise_5,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Paul Mulholland,xhVoIDYAAAAJ,Human Computer Interaction,Technology enhanced learning,Digital cultural heritage,Digital Humanities,Music Computing,,,,,,,18,23,19,24,25,45,44,46,69,81,56,66,73,84,100,117,140,177,162,209,202,154,176,142,166,205,51
Peter Robinson,FzphlAUAAAAJ,textual scholarship,digital humanities,phylogenetics,Chaucer,,,,,9,13,22,40,19,39,24,35,39,46,81,83,77,87,70,139,88,113,145,141,163,122,210,129,154,108,109,134,126,21
Christian Chiarcos,IYbsrxUAAAAJ,Natural Language Processing,Computational Linguistics,Linked Data,Digital Humanities,XML and post-XML technologies,,,,,,,,,,,,,,,,7,31,73,37,65,85,154,150,175,152,174,160,226,210,296,233,340,27
Scott B. Weingart,c5t_w1cAAAAJ,history of science,digital humanities,digital history,cultural analytics,digital scholarship,,,,,,,,,,,,,,,,,,,18,21,36,39,68,96,165,229,285,270,283,315,317,401,79
Susan Schreibman,aZcupcsAAAAJ,Digital Humanities,Irish poetic modernism,Digital Archives,Thomas MacGreevy,,,,,,,,,,,,,,,,14,14,36,43,67,77,104,143,145,171,160,201,196,201,208,231,209,191,22
Seamus Ross,n1R2NMIAAAAJ,Digital Humanities,Digital Preservation/Curation,Digital Archaeology,Archives,Cultural Heritage Informatics,,,,,,,8,15,18,8,20,14,27,35,51,68,121,115,128,156,162,190,168,161,168,163,136,119,135,84,82,76,18
Marieke van Erp,QeZOR3AAAAAJ,text mining,cultural heritage,semantic web,cultural ai,digital humanities,,,,,,,,,,,,,,,,,,7,7,21,20,23,58,74,166,221,263,299,255,317,310,331,79
Gerold Schneider,l_8L7NYAAAAJ,Computational Linguistics,Corpus Linguistics,English Linguistics,Digital Humanities,Cognitive Linguistics,,,,,,,,,,7,10,22,17,34,43,74,98,105,131,126,153,203,162,215,142,143,160,132,123,117,114,113,33
Michael Andrec,dQT4ipgAAAAJ,Data analytics,statistics,digital humanities,,,,,,,,9,9,14,25,47,73,88,94,122,105,114,126,138,152,129,143,144,115,127,107,100,105,72,74,68,64,62,6
J. Berenike Herrmann,HmgX1bsAAAAJ,Data Humanities,Digital Humanities,Computational Stylistics,German-Swiss Literature,Sentiment Analysis,,,,,,,,,,,,,,,,,,,9,18,44,50,70,124,150,197,212,211,239,267,326,343,63
刘炜,X2BLbJ4AAAAJ,Digital Library,Digital Humanities,Knowledge Organization,Metadata,Librarianship,,,,,,,,,,18,31,61,73,82,67,60,83,102,110,138,143,164,163,178,212,171,82,71,131,93,76,68,8
anna gibbs,BS98_yYAAAAJ,Affect Theory,Literary Studies,Media Studies,Cultural Studies,Digital Humanities,,,,,,,,,,,,,7,11,18,13,21,17,29,25,38,43,84,98,83,122,148,222,333,331,339,277,74
Olga Uryupina,bL5GcAYAAAAJ,Natural Language Processing,Computation Linguistics,Social Media,Digital Humanities,Machine Learning,,,,,,,,,,,,,12,17,47,36,38,39,38,53,38,68,86,80,129,141,149,169,239,306,316,311,54
Moya Bailey,Nr8mmFMAAAAJ,Women's Studies,African American Studies,Digital Humanities,Disability Studies,Communication,,,,,,,,,,,,,,,,,,,,,,,10,14,25,55,61,121,186,298,580,718,184
Christopher Donaldson,4l01htwAAAAJ,Cultural History (esp. British c18/19),Historical Geography,Environmental History,Digital Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,11,12,58,88,85,89,592,1131,219
Charlotte Roueche,tMk07f0AAAAJ,Classics,Byzantine Studies,Epigraphy,Digital Humanities,,6,9,13,7,16,21,32,24,32,26,32,48,49,55,40,41,59,76,54,74,88,112,130,137,140,152,120,118,124,112,117,107,25
Oliver Duke-Williams,7wDFF_sAAAAJ,Population geography,census,digital humanities,,,,,,,,6,6,7,15,23,21,22,38,36,45,37,64,60,78,120,79,87,96,101,83,102,165,135,163,219,201,183,32
Nicolas Gold,H0jzfvwAAAAJ,Ethics,Computer Music,Software Engineering,Digital Humanities,,,,,,,,,,,9,11,19,30,55,57,66,60,75,87,117,127,120,133,119,125,143,122,107,88,89,177,177,49
Astrid Ensslin,v6oKWJQAAAAJ,Video games,digital narrative,Digital Humanities,gender and the body,digital culture,,,,,,,,,,,,,,,,,21,16,34,61,79,90,154,96,165,123,167,207,226,209,239,219,31
Sarah Whitcher Kansa,DIrfVhUAAAAJ,archaeology,digital humanities,zooarchaeology,,,,,,,,,,,,,,,,,,,,10,16,17,44,64,56,117,182,153,179,236,239,211,261,266,84
Patrick E. Savage,UCIt79UAAAAJ,ethnomusicology,music cognition,cultural evolution,digital humanities,,,,,,,,,,,,,,,,,,,,,,,,10,29,33,85,108,144,221,274,459,617,118
Wajdi Zaghouani,Jayj_-cAAAAJ,Digital Humanities,Computational Social Sciences,Arabic Natural Language Processing,Computational Linguistics,,,,,,,,,,,,,,,,,13,19,29,28,42,20,43,47,75,114,173,124,155,220,258,308,413,62
Wolfgang Schmale,ZvoLgqkAAAAJ,History,Europe,Gender,Digital Humanities,Human Rights,,,,,,,,13,16,24,22,24,31,38,35,48,68,106,93,132,108,103,105,126,109,130,104,97,174,125,108,95,13
Ted Underwood,KmW82uwAAAAJ,Cultural Analytics,Digital Humanities,English Literary History,,,,,,,,,,,,,,,,,,,,,6,8,8,17,26,40,97,124,174,199,255,295,354,359,76
kerry mallan,Wd7vxoUAAAAJ,children's literature,digital media,digital participation,digital humanities,,,,,,,,,,,,9,8,5,16,21,13,18,22,47,55,91,106,115,144,174,179,154,163,200,165,181,142,18
Marian Dörk,pDg8ZMAAAAAJ,Data Visualization,Human-Computer Interaction,Digital Humanities,Urban Futures,,,,,,,,,,,,,,,,,,,,12,23,49,74,105,129,146,182,191,217,192,226,227,244,48
Uta Hinrichs,kGPAR0YAAAAJ,Data Visualization,Human Computer Interaction,Interaction Design,Digital Humanities,,,,,,,,,,,,,,,,,19,17,29,34,45,44,85,116,115,147,122,153,186,187,255,213,240,38
Marc Rittberger,gQOWgmkAAAAJ,Information Retrieval,Bibliometrics,Altmetrics,Digital Humanities,Information Quality,,,,12,10,2,14,5,16,7,8,7,9,24,11,27,8,13,19,23,29,55,73,93,93,139,160,149,182,217,245,276,88
Wei Ding,ShRPvWEAAAAJ,Data visualization,Bioinformatics,Data mining,Digital humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,50,193,258,318,372,372,372,84
John Stell,h_Fv6o8AAAAJ,Spatial Reasoning,Knowledge Representation,Digital Humanities,,,10,9,3,6,17,9,11,18,41,35,55,71,83,90,84,88,93,86,110,81,84,80,106,80,90,87,87,104,59,80,46,47,28
Ben Verhoeven,Et9lJMgAAAAJ,Computational Linguistics,Text Mining,Stylometry,Digital Humanities,Corpus Linguistics,,,,,,,,,,,,,,,,,,,,,,,9,23,62,127,215,301,279,269,329,303,69
Marijn Koolen,ED4lSXwAAAAJ,information retrieval,artificial intelligence,information science,digital humanities,recommender systems,,,,,,,,,,,,,,,,,11,22,61,93,129,116,115,115,115,144,141,113,145,159,161,274,43
Albert-László Barabási,vsj2slIAAAAJ,network science,statistical physics,biological physics,physics,medicine,,,,,,,,,,802,1221,2275,3683,5199,6869,8147,9543,10210,11617,12221,13196,14902,16115,16293,16424,16931,16608,16685,16530,16586,16985,15834,3769
Joseph Loscalzo,ZfAwwkUAAAAJ,Vascular Biology,Nitric Oxide,Redox Biology,Systems Biology,Network Science,467,583,884,1292,1990,2084,2510,2688,3221,3426,3484,3443,3647,3563,4174,4153,4208,3958,4123,4296,4438,5197,5428,5414,5373,5677,5663,5594,6021,6574,7442,7217,1804
Duncan J Watts,LhOAiXMAAAAJ,Computational Social Science,Network Science,Sociology,Complex Systems,,,,,,,,,,,,604,910,1350,2046,2646,3460,4291,4732,5367,5708,6141,7034,7476,7889,7677,7437,7025,7131,7254,7442,8031,7536,1765
Reka Albert,d27Ji6kAAAAJ,Network science,Systems Biology,Mathematical Biology,,,,,,,,,,,,,653,1332,2075,2804,3727,4501,5250,5521,6294,6376,6517,6855,7222,7441,7153,7300,6735,6616,6435,5989,5876,5622,1384
